id,code,name,name_en
1,1,De autoriteiten en het vaderland,Authorities and the fatherland
2,2,Huwelijk en gezin,Marriage and family
3,3,Publieke moraal en gevestigde sociale orde,Public morality and established social order
4,4,Religie,Religion
5,5,Taal,Language
6,6,Criminaliteit,Crime
7,7,Geweldscenes,Scenes of Violence
8,8,Drugs,Drugs
9,9,Pornografie,Pornography
10,10,Seks en erotiek,Sex and Eroticism
11,11,Seksueel geweld,Sexual Violence
12,12,Lichaam,Body
13,13,"Gruwelijke ""wetenschappelijke"" beelden","Gruesome ""scientific"" images"
14,14,Discriminatie en racisme,Discrimination and racism
15,15,Varia,Varia
